Stock,Company,Returns1,Volatility,Cluster,Returns
CMS,CMS Energy,-0.061104706,3.237948918,2,1
CNC,Centene Corporation,0.433669268,5.05918423,1,0.433669268
CNP,CenterPoint Energy,-0.113560983,3.56215543,2,1
COF,Capital One Financial,0.822080834,38.08084941,3,0.822080834
COO,The Cooper Companies,0.467529683,48.3746266,4,0.467529683
COP,ConocoPhillips,0.361378241,11.47486607,1,0.361378241
COST,Costco,0.648886748,50.30090176,4,0.648886748
CPB,Campbell Soup,-0.144647432,2.695401615,2,1
CPRT,Copart,0.816849811,22.09883304,3,0.816849811
CRL,Charles River Laboratories,2.322128131,95.8956816,5,2.322128131
CRM,Salesforce,0.985687313,39.0041221,3,0.985687313
CSCO,Cisco Systems,0.186920906,5.702549913,2,0.186920906
CSX,CSX,0.49619024,4.39352944,1,0.49619024
CTAS,Cintas Corporation,0.573621221,58.27621885,4,0.573621221
CTLT,Catalent,1.665455432,26.5640003,5,1.665455432
CTRA,Coterra,0.214788751,1.716655036,2,0.214788751
CTSH,Cognizant Technology Solutions,0.301933581,9.337453188,1,0.301933581
CTVA,Corteva,0.620022748,8.414712076,1,0.620022748
CTXS,Citrix Systems,-0.083603923,14.99102772,2,1
CVS,CVS Health,0.349167309,9.180886267,1,0.349167309
CVX,Chevron Corporation,-0.034529726,13.87837609,2,1
CZR,Caesars Entertainment,1.5336115,28.60416611,3,1.5336115
D,Dominion Energy,-0.073138334,4.319669036,2,1
DAL,Delta Air Lines,-0.265476898,10.77264689,2,1
DD,DuPont,0.087307514,13.0005376,2,0.087307514
DE,Deere & Co.,1.048573501,88.8932698,5,1.048573501
DFS,Discover Financial Services,0.555430174,29.18930339,0,0.555430174
DG,Dollar General,0.367493657,24.63433702,0,0.367493657
DGX,Quest Diagnostics,0.449147526,15.97556702,1,0.449147526
DHI,D. R. Horton,0.634401616,17.55971529,1,0.634401616
DHR,Danaher Corporation,1.257402481,54.73710973,4,1.257402481
DIS,The Walt Disney Company,0.320896705,29.36385097,0,0.320896705
DISCA,Discovery (Series A),-0.078612957,10.12909728,2,1
DISCK,Discovery (Series C),-0.043520751,8.257558287,2,1
DISH,Dish Network,0.278770021,6.429787985,1,0.278770021
DLR,Digital Realty Trust,0.166914676,12.54680853,2,0.166914676
DLTR,Dollar Tree,-0.091782013,10.99377401,2,1
DOV,Dover Corporation,0.633983074,24.98055618,3,0.633983074
DOW,Dow,0.191732371,10.56720628,2,0.191732371
DPZ,Domino's Pizza,0.777807261,66.40545711,4,0.777807261
DRE,Duke Realty Corp,0.611288537,6.203226652,1,0.611288537
DRI,Darden Restaurants,0.305180608,28.99346378,0,0.305180608
DTE,DTE Energy,0.057873105,11.10383542,2,0.057873105
DUK,Duke Energy,0.07130216,7.902491463,2,0.07130216
DVA,DaVita,0.972609882,20.13592899,3,0.972609882
DVN,Devon Energy,0.878145481,8.13262992,1,0.878145481
DXC,DXC Technology,0.241700111,8.708579912,2,0.241700111
DXCM,DexCom,2.872763067,95.63480797,5,2.872763067
EA,Electronic Arts,0.480099944,15.78035295,1,0.480099944
EBAY,eBay,1.259966379,13.04778125,3,1.259966379
ECL,Ecolab,0.165539989,16.05026127,2,0.165539989
ED,Consolidated Edison,-0.195142659,6.827974376,2,1
EFX,Equifax,1.002614463,44.00550201,4,1.002614463
EIX,Edison International,-0.156669913,6.888878868,2,1
EL,Estée Lauder Companies,0.759449678,55.09365853,4,0.759449678
EMN,Eastman Chemical,0.44596925,21.86506621,0,0.44596925
EMR,Emerson Electric Company,0.383800812,15.4497667,1,0.383800812
ENPH,Enphase Energy,6.765187541,60.49652508,5,6.765187541
EOG,EOG Resources,0.300958673,16.59051356,1,0.300958673
EQIX,Equinix,0.46001517,86.8555758,5,0.46001517
EQR,Equity Residential,-0.025919208,11.73721085,2,1
ES,Eversource Energy,-0.002494157,4.47392548,2,1
ESS,Essex Property Trust,0.028840271,42.25452478,0,0.028840271
ETN,Eaton Corporation,0.935905117,27.78253142,3,0.935905117
ETR,Entergy,-0.139290721,10.31563749,2,1
ETSY,Etsy,3.366926449,65.15476021,5,3.366926449
EVRG,Evergy,0.011587815,5.583009641,2,0.011587815
EW,Edwards Lifesciences,0.543388939,14.82299725,1,0.543388939
EXC,Exelon,0.119640569,4.472580538,2,0.119640569
EXPD,Expeditors,0.653541122,19.82497515,1,0.653541122
EXPE,Expedia Group,0.179232915,36.82354753,0,0.179232915
EXR,Extra Space Storage,0.627693612,29.06503988,0,0.627693612
F,Ford,0.853197592,3.178993229,1,0.853197592
FANG,Diamondback Energy,0.263591049,23.34269682,0,0.263591049
FAST,Fastenal,0.515061898,7.064116368,1,0.515061898
FB,Facebook,0.748786862,58.18866134,4,0.748786862
FBHS,Fortune Brands Home & Security,0.597663248,17.51403579,1,0.597663248
FCX,Freeport-McMoRan,3.098112501,11.74417471,5,3.098112501
FDX,FedEx,0.522499854,65.2876318,4,0.522499854
FE,FirstEnergy,-0.22458068,6.672123092,2,1
FFIV,F5 Networks,0.425517266,32.58079907,0,0.425517266
FIS,Fidelity National Information Services,-0.04620392,9.859767992,2,1
FISV,Fiserv,0.071048877,8.739614205,2,0.071048877
FITB,Fifth Third Bancorp,0.61440218,8.518099331,1,0.61440218
FLT,Fleetcor,-0.052828769,26.55161984,0,1
FMC,FMC Corporation,0.118119661,10.88825373,2,0.118119661
FOX,Fox Corporation (Class B),0.239873412,4.759835385,2,0.239873412
FOXA,Fox Corporation (Class A),0.30170276,5.434328082,1,0.30170276
FRC,First Republic Bank,1.033295648,37.77308192,3,1.033295648
FRT,Federal Realty Investment Trust,-0.134389385,20.50881564,2,1
FTNT,Fortinet,3.141428018,67.66663651,5,3.141428018
FTV,Fortive,0.245934968,8.055931525,2,0.245934968
GD,General Dynamics,0.193223253,23.02570062,0,0.193223253
GE,General Electric,0.473463719,21.98061052,1,0.473463719
GILD,Gilead Sciences,0.027803016,5.325670385,2,0.027803016
GIS,General Mills,0.217626648,3.86548784,2,0.217626648
GL,Globe Life,-0.033274583,11.19259906,2,1
GLW,Corning,0.301946917,7.126052031,1,0.301946917
GM,General Motors,0.609296509,13.02897292,1,0.609296509
GNRC,Generac Holdings,4.230292244,122.0275111,5,4.230292244
GOOG,Alphabet (Class C),1.19851075,535.8332641,7,1.19851075
GOOGL,Alphabet (Class A),1.184074483,522.2412225,7,1.184074483
GPC,Genuine Parts,0.284766831,17.42757578,1,0.284766831
GPN,Global Payments,-0.018419754,18.29167167,2,1
GPS,Gap,0.296189443,7.771889762,1,0.296189443
GRMN,Garmin,0.901625231,27.20965348,3,0.901625231
GS,Goldman Sachs,0.963610554,79.26956844,5,0.963610554
GWW,W. W. Grainger,0.385933178,59.6705168,4,0.385933178
HAL,Halliburton,0.321366118,5.057407457,1,0.321366118
HAS,Hasbro,-0.077787054,11.78010223,2,1
HBAN,Huntington Bancshares,0.16015353,2.803382493,2,0.16015353
HBI,Hanesbrands,0.07210035,3.371365901,2,0.07210035
HCA,HCA Healthcare,0.946640015,48.25519147,4,0.946640015
HD,Home Depot,0.588438967,42.88617667,4,0.588438967
HES,Hess Corporation,0.327201979,15.41640216,1,0.327201979
HIG,The Hartford,0.282090717,12.06721205,1,0.282090717
HII,Huntington Ingalls Industries,-0.039914813,33.55464412,0,1
HLT,Hilton Worldwide,0.462845929,20.60606668,1,0.462845929
HOLX,Hologic,0.537961438,11.95038331,1,0.537961438
HON,Honeywell,0.271666772,32.22225215,0,0.271666772
HPE,Hewlett Packard Enterprise,-0.026746393,2.722392434,2,1
HPQ,HP,0.79380827,5.702250813,1,0.79380827
HRL,Hormel,0.026914664,2.687852807,2,0.026914664
HSIC,Henry Schein,0.240878307,7.875376909,2,0.240878307
HST,Host Hotels & Resorts,-0.000893466,2.718268525,2,1
HSY,The Hershey Company,0.235499094,15.21562611,1,0.235499094
HUM,Humana,0.612103685,42.22603475,4,0.612103685
HWM,Howmet Aerospace,0.088953719,7.529637328,2,0.088953719
IBM,IBM,-0.046366879,11.00171376,2,1
ICE,Intercontinental Exchange,0.430308838,12.20429823,1,0.430308838
IDXX,Idexx Laboratories,1.432527125,145.0527107,5,1.432527125
IEX,IDEX Corporation,0.402996864,27.50577303,0,0.402996864
IFF,International Flavors & Fragrances,0.220700075,12.99934879,2,0.220700075
ILMN,Illumina,0.320507116,65.74961267,4,0.320507116
INCY,Incyte,-0.138451656,9.678565037,2,1
INFO,IHS Markit,0.774073529,18.212768,3,0.774073529
INTC,Intel,-0.04566338,5.359166342,2,1
INTU,Intuit,1.326110447,97.95815911,5,1.326110447
IP,International Paper,0.330449824,9.289354309,1,0.330449824
IPG,Interpublic Group,0.68971131,7.088754323,1,0.68971131
IPGP,IPG Photonics,0.15233635,35.79594884,0,0.15233635
IQV,IQVIA,0.768065142,43.34825293,4,0.768065142
IR,Ingersoll Rand,0.693583421,8.92801305,1,0.693583421
IRM,Iron Mountain,0.339087187,7.189610098,1,0.339087187
ISRG,Intuitive Surgical,0.899288313,54.63906089,4,0.899288313
IT,Gartner,1.241386174,62.26468491,4,1.241386174
ITW,Illinois Tool Works,0.405451732,25.10636542,0,0.405451732
IVZ,Invesco,0.46221958,6.564507731,1,0.46221958
J,Jacobs Engineering Group,0.485487768,21.05701097,1,0.485487768
JBHT,J. B. Hunt,0.710651263,26.41984658,3,0.710651263
JCI,Johnson Controls,0.74586288,14.37812459,1,0.74586288
JKHY,Jack Henry & Associates,0.25122286,11.83383163,1,0.25122286
JNJ,Johnson & Johnson,0.287058871,12.26549312,1,0.287058871
JNPR,Juniper Networks,0.137902861,2.43417781,2,0.137902861
JPM,JPMorgan Chase,0.36607218,25.91780594,0,0.36607218
K,Kellogg's,0.001540727,3.083131318,2,0.001540727
KEY,KeyCorp,0.322882224,4.093263799,1,0.322882224
KEYS,Keysight Technologies,0.762930566,27.57757127,3,0.762930566
KHC,Kraft Heinz,0.280186222,4.811692351,1,0.280186222
KIM,Kimco Realty,0.08695653,4.39014482,2,0.08695653
KLAC,KLA Corporation,1.048476902,70.63748912,5,1.048476902
KMB,Kimberly-Clark,-0.042902603,7.135948466,2,1
KMI,Kinder Morgan,-0.12940315,2.65250364,2,1
KMX,CarMax,0.479972559,21.47695619,1,0.479972559
KO,Coca-Cola Company,-0.006504335,4.066830004,2,1
KR,Kroger,0.616726828,4.553495494,1,0.616726828
KSU,Kansas City Southern,1.083780086,57.33011235,4,1.083780086
L,Loews Corporation,0.13178601,8.709795608,2,0.13178601
LDOS,Leidos,0.276650383,7.629040551,1,0.276650383
LEG,Leggett & Platt,0.077044735,7.482506938,2,0.077044735
LEN,Lennar,0.62013877,19.11670801,1,0.62013877
LH,LabCorp,0.713563927,49.0502476,4,0.713563927
LHX,L3Harris Technologies,0.196888762,20.5318013,0,0.196888762
LIN,Linde,0.641639454,41.92484858,4,0.641639454
LKQ,LKQ Corporation,0.77854669,9.617339039,1,0.77854669
LLY,Eli Lilly & Co,1.27633167,41.173328,3,1.27633167
LMT,Lockheed Martin,0.005683954,24.70355618,0,0.005683954
LNC,Lincoln National,0.245372641,13.97449004,1,0.245372641
LNT,Alliant Energy,0.059075699,4.037984229,2,0.059075699
LOW,Lowe's,1.090055893,36.58818855,3,1.090055893
LRCX,Lam Research,1.088987234,144.6958765,5,1.088987234
LUMN,Lumen Technologies,-0.03171501,1.769610007,2,1
LUV,Southwest Airlines,-0.157988982,10.14485341,2,1
LVS,Las Vegas Sands,-0.376308035,9.043718751,2,1
LW,Lamb Weston,-0.214304276,10.72300567,2,1
LYB,LyondellBasell,0.107967416,17.90668565,2,0.107967416
LYV,Live Nation Entertainment,0.489019912,17.13191047,1,0.489019912
MA,Mastercard,0.349079079,37.454373,0,0.349079079
MAA,Mid-America Apartments,0.478113903,26.82705577,0,0.478113903
MAR,Marriott International,0.241914653,24.98536594,0,0.241914653
MAS,Masco,0.39619653,7.377722774,1,0.39619653
MCD,McDonald's,0.213498571,21.16484797,0,0.213498571
MCHP,Microchip Technology,0.618987041,13.65945905,1,0.618987041
MCK,McKesson Corporation,0.431181292,23.78524053,0,0.431181292
MCO,Moody's Corporation,0.790634524,49.42929168,4,0.790634524
MDLZ,Mondelez International,0.141874012,4.176938824,2,0.141874012
MDT,Medtronic,0.172001144,12.69308777,2,0.172001144
MET,MetLife,0.423725176,10.99970419,1,0.423725176
MGM,MGM Resorts International,0.703224656,10.08108034,1,0.703224656
MHK,Mohawk Industries,0.495766661,44.3506947,4,0.495766661
MKC,McCormick & Company,0.006375027,7.447116465,2,0.006375027
MKTX,MarketAxess,0.175785568,69.37996215,5,0.175785568
MLM,Martin Marietta Materials,0.484673528,64.02213972,4,0.484673528
MMC,Marsh & McLennan,0.719959471,18.33279601,1,0.719959471
MMM,3M,0.126258586,18.19466957,2,0.126258586
MNST,Monster Beverage,0.496202014,13.25857412,1,0.496202014
MO,Altria Group,0.025127775,4.56853785,2,0.025127775
MOS,The Mosaic Company,1.126003931,8.594032222,3,1.126003931
MPC,Marathon Petroleum,0.02426527,13.12180923,2,0.02426527
MPWR,Monolithic Power Systems,2.471312635,103.6334276,5,2.471312635
MRK,Merck & Co.,0.036641815,4.097828761,2,0.036641815
MRNA,Moderna,19.81193405,116.639412,6,19.81193405
MRO,Marathon Oil,0.39949746,3.578417043,1,0.39949746
MS,Morgan Stanley,1.22945805,21.22419378,3,1.22945805
MSCI,MSCI,1.933147542,114.7608575,5,1.933147542
MSFT,Microsoft,1.205945454,46.08566625,4,1.205945454
MSI,Motorola Solutions,0.511056617,31.41160658,0,0.511056617
MTB,M&T Bank,0.015357013,25.12265505,0,0.015357013
MTCH,Match Group,1.281072222,34.1810529,3,1.281072222
MTD,Mettler Toledo,1.138349319,276.6110106,8,1.138349319
MU,Micron Technology,0.463163549,15.9565149,1,0.463163549
NCLH,Norwegian Cruise Line Holdings,-0.494506597,13.44199589,2,1
NDAQ,Nasdaq,0.990400062,30.55290337,3,0.990400062
NEE,NextEra Energy,0.421006075,8.688857115,1,0.421006075
NEM,Newmont,0.492583194,9.041496255,1,0.492583194
NFLX,Netflix,1.47749545,87.56304358,5,1.47749545
NI,NiSource,-0.115599325,2.029247032,2,1
NKE,Nike,0.796902683,26.1508906,3,0.796902683
NLOK,NortonLifeLock,0.160008656,2.972596102,2,0.160008656
NLSN,Nielsen Holdings,-0.08423276,4.39282527,2,1
NOC,Northrop Grumman,0.135524347,28.17615792,0,0.135524347
NOW,ServiceNow,1.906005525,117.7413282,5,1.906005525
NRG,NRG Energy,0.018241893,4.403349082,2,0.018241893
NSC,Norfolk Southern,0.572879172,39.71842207,4,0.572879172
NTAP,NetApp,0.685662758,16.29270167,1,0.685662758
NTRS,Northern Trust,0.229496753,15.09985003,1,0.229496753
NUE,Nucor,1.060235308,24.94577223,3,1.060235308
NVDA,Nvidia,3.73432895,51.16577986,5,3.73432895
NVR,NVR,0.299251709,704.1204196,7,0.299251709
NWL,Newell Brands,0.16426733,4.830463931,2,0.16426733
NWS,News Corp (Class B),0.718552404,5.250509958,1,0.718552404
NWSA,News Corp (Class A),0.754453248,5.815267713,1,0.754453248
NXPI,NXP,0.890685385,41.00790337,4,0.890685385
O,Realty Income Corporation,-0.088064258,7.803447665,2,1
ODFL,Old Dominion Freight Line,1.652088895,54.82035239,5,1.652088895
OGN,Organon & Co.,0,2.571399535,2,0
OKE,Oneok,-0.07962545,16.43147396,2,1
OMC,Omnicom Group,-0.078572293,11.36863071,2,1
ORCL,Oracle,0.812937814,13.74631122,1,0.812937814
ORLY,O'Reilly Automotive,0.512211289,77.39397619,5,0.512211289
OTIS,Otis Worldwide,0,12.6315569,2,0
OXY,Occidental Petroleum,-0.172381196,10.02412712,2,1
PAYC,Paycom,1.654692779,82.18932079,5,1.654692779
PAYX,Paychex,0.45920904,15.15211863,1,0.45920904
PBCT,People's United Financial,0.106186788,2.832221497,2,0.106186788
PCAR,Paccar,0.15710483,9.216488722,2,0.15710483
PEAK,Healthpeak Properties,-0.087257216,3.999324507,2,1
PEG,Public Service Enterprise Group,0.010838569,5.179916782,2,0.010838569
PENN,Penn National Gaming,2.528768267,31.58938714,5,2.528768267
PEP,PepsiCo,0.156719129,8.965284274,2,0.156719129
PFE,Pfizer,0.247334704,3.917859209,2,0.247334704
PFG,Principal Financial Group,0.216724643,10.94815389,2,0.216724643
PG,Procter & Gamble,0.127654461,9.7518196,2,0.127654461
PGR,Progressive Corporation,0.385878767,9.67941788,1,0.385878767
PH,Parker-Hannifin,0.631736211,58.33227445,4,0.631736211
PHM,PulteGroup,0.211308853,8.705350003,2,0.211308853
PKG,Packaging Corporation of America,0.249078578,20.36638919,0,0.249078578
PKI,PerkinElmer,1.088980591,31.14219089,3,1.088980591
PLD,Prologis,0.569334456,15.81270801,1,0.569334456
PM,Philip Morris International,0.190055297,9.980366518,2,0.190055297
PNC,PNC Financial Services,0.487843378,34.79862572,0,0.487843378
PNR,Pentair,0.846875112,13.69539157,1,0.846875112
PNW,Pinnacle West Capital,-0.291933911,7.405419245,2,1
POOL,Pool Corporation,1.499729954,95.24864834,5,1.499729954
PPG,PPG Industries,0.2960026,25.67831353,0,0.2960026
PPL,PPL,-0.123604017,3.130270109,2,1
PRU,Prudential Financial,0.251698451,17.95675616,1,0.251698451
PSA,Public Storage,0.357708075,42.28391019,0,0.357708075
PSX,Phillips 66,-0.244327935,17.84079186,2,1
PTC,PTC,0.855396845,28.4655944,3,0.855396845
PVH,PVH,0.2359644,25.2339422,0,0.2359644
PWR,Quanta Services,1.926213479,26.43126873,5,1.926213479
PXD,Pioneer Natural Resources,0.491451974,31.46366571,0,0.491451974
PYPL,PayPal,1.377237512,66.32827363,4,1.377237512
QCOM,Qualcomm,0.680972305,27.79960621,3,0.680972305
QRVO,Qorvo,1.115476612,36.76363581,3,1.115476612
RCL,Royal Caribbean Group,-0.22275664,25.26510113,2,1
RE,Everest Re,0.132234548,30.03543544,0,0.132234548
REG,Regency Centers,0.01987816,11.20774824,2,0.01987816
REGN,Regeneron Pharmaceuticals,0.890080824,89.31917677,5,0.890080824
RF,Regions Financial Corporation,0.489184107,4.296744891,1,0.489184107
RHI,Robert Half International,0.932851216,19.0772448,3,0.932851216
RJF,Raymond James Financial,0.825110202,17.60517319,3,0.825110202
RL,Ralph Lauren Corporation,0.274248288,21.73553974,0,0.274248288
RMD,ResMed,1.095122354,40.13274017,3,1.095122354
ROK,Rockwell Automation,0.819558739,43.90818421,4,0.819558739
ROL,Rollins,0.526075111,5.758625653,1,0.526075111
ROP,Roper Technologies,0.475641723,48.69580602,4,0.475641723
ROST,Ross Stores,0.023904376,14.76203144,2,0.023904376
RSG,Republic Services,0.509955091,13.58209269,1,0.509955091
RTX,Raytheon Technologies,0.010628004,13.14995995,2,0.010628004
SBAC,SBA Communications,0.418234897,33.11633434,0,0.418234897
SBUX,Starbucks,0.377735009,16.31519805,1,0.377735009
SCHW,Charles Schwab Corporation,1.023420323,15.24026073,3,1.023420323
SEE,Sealed Air,0.438621967,10.00480137,1,0.438621967
SHW,Sherwin-Williams,0.614057989,42.31334725,4,0.614057989
SIVB,SVB Financial,2.589956953,164.2437342,5,2.589956953
SJM,JM Smucker,0.138506913,9.59970722,2,0.138506913
SLB,Schlumberger,-0.020791784,7.454183897,2,1
SNA,Snap-on,0.273089644,39.66652962,0,0.273089644
SNPS,Synopsys,1.361530701,58.53465539,4,1.361530701
SO,Southern Company,0.015496353,4.732827116,2,0.015496353
SPG,Simon Property Group,-0.056526778,33.13005674,0,1
SPGI,S&P Global,0.799355887,57.05798963,4,0.799355887
SRE,Sempra Energy,-0.11920839,11.60325185,2,1
STE,Steris,0.716027371,26.01855653,3,0.716027371
STT,State Street Corporation,0.507667594,11.13592842,1,0.507667594
STX,Seagate Technology,0.584992829,16.55929542,1,0.584992829
STZ,Constellation Brands,0.112029099,26.66647711,0,0.112029099
SWK,Stanley Black & Decker,0.296182562,29.77398904,0,0.296182562
SWKS,Skyworks Solutions,0.845244682,32.11457901,3,0.845244682
SYF,Synchrony Financial,0.39817204,10.48602113,1,0.39817204
SYK,Stryker Corporation,0.296485462,32.32760156,0,0.296485462
SYY,Sysco,-0.0079797,12.04498101,2,1
T,AT&T,-0.307982052,3.763941956,2,1
TAP,Molson Coors Beverage Company,-0.25382004,7.414359171,2,1
TDG,TransDigm Group,0.20095114,97.75882095,5,0.20095114
TDY,Teledyne Technologies,0.337430399,50.03813146,4,0.337430399
TECH,Bio-Techne,1.532682027,103.3060503,5,1.532682027
TEL,TE Connectivity,0.575042712,25.47772075,0,0.575042712
TER,Teradyne,0.868166699,27.12610461,3,0.868166699
TFC,Truist Financial,0.216776701,9.459061008,2,0.216776701
TFX,Teleflex,0.178007815,31.98220987,0,0.178007815
TGT,Target Corporation,1.363083889,51.01513216,4,1.363083889
TJX,TJX Companies,0.103197402,7.652223016,2,0.103197402
TMO,Thermo Fisher Scientific,1.072246497,88.24612816,5,1.072246497
TMUS,T-Mobile US,0.430166838,22.07911961,0,0.430166838
TPR,Tapestry,0.542784999,11.55484801,1,0.542784999
TRMB,Trimble,1.239902363,19.37529171,3,1.239902363
TROW,T. Rowe Price,0.829289889,34.45283692,3,0.829289889
TRV,The Travelers Companies,0.230693213,19.59365275,0,0.230693213
TSCO,Tractor Supply Company,1.158673501,38.04771482,3,1.158673501
TSLA,Tesla,15.97669182,267.7299383,6,15.97669182
TSN,Tyson Foods,0.074402479,10.25346545,2,0.074402479
