Symbol,Returns1,Volatility,Cluster,Returns
DOV,0.633983074,24.98055618,3,0.633983074
DOW,0.191732371,10.56720628,2,0.191732371
DTE,0.057873105,11.10383542,2,0.057873105
DUK,0.07130216,7.902491463,2,0.07130216
DRE,0.611288537,6.203226652,1,0.611288537
DD,0.087307514,13.0005376,2,0.087307514
DXC,0.241700111,8.708579912,2,0.241700111
EMN,0.44596925,21.86506621,0,0.44596925
ETN,0.935905117,27.78253142,3,0.935905117
EBAY,1.259966379,13.04778125,3,1.259966379
ECL,0.165539989,16.05026127,2,0.165539989
EIX,-0.156669913,6.888878868,2,0.1
EW,0.543388939,14.82299725,1,0.543388939
EA,0.480099944,15.78035295,1,0.480099944
EMR,0.383800812,15.4497667,1,0.383800812
ETR,-0.139290721,10.31563749,2,0.1
EOG,0.300958673,16.59051356,1,0.300958673
EFX,1.002614463,44.00550201,4,1.002614463
EQR,-0.025919208,11.73721085,2,0.1
ESS,0.028840271,42.25452478,0,0.028840271
EL,0.759449678,55.09365853,4,0.759449678
EVRG,0.011587815,5.583009641,2,0.011587815
ES,-0.002494157,4.47392548,2,0.1
RE,0.132234548,30.03543544,0,0.132234548
EXC,0.119640569,4.472580538,2,0.119640569
EXPE,0.179232915,36.82354753,0,0.179232915
EXPD,0.653541122,19.82497515,1,0.653541122
EXR,0.627693612,29.06503988,0,0.627693612
XOM,-0.07128377,11.04465272,2,0.1
FFIV,0.425517266,32.58079907,0,0.425517266
FB,0.748786862,58.18866134,4,0.748786862
FAST,0.515061898,7.064116368,1,0.515061898
FRT,-0.134389385,20.50881564,2,0.1
FDX,0.522499854,65.2876318,4,0.522499854
FIS,-0.04620392,9.859767992,2,0.1
FITB,0.61440218,8.518099331,1,0.61440218
FE,-0.22458068,6.672123092,2,0.1
FRC,1.033295648,37.77308192,3,1.033295648
FISV,0.071048877,8.739614205,2,0.071048877
FLT,-0.052828769,26.55161984,0,0.1
FMC,0.118119661,10.88825373,2,0.118119661
F,0.853197592,3.178993229,1,0.853197592
FTV,0.245934968,8.055931525,2,0.245934968
FBHS,0.597663248,17.51403579,1,0.597663248
FOXA,0.30170276,5.434328082,1,0.30170276
FOX,0.239873412,4.759835385,2,0.239873412
BEN,0.106254436,5.010910838,2,0.106254436
GPS,0.296189443,7.771889762,1,0.296189443
GRMN,0.901625231,27.20965348,3,0.901625231
IT,1.241386174,62.26468491,4,1.241386174
GD,0.193223253,23.02570062,0,0.193223253
GE,0.473463719,21.98061052,1,0.473463719
GIS,0.217626648,3.86548784,2,0.217626648
GM,0.609296509,13.02897292,1,0.609296509
GPC,0.284766831,17.42757578,1,0.284766831
GILD,0.027803016,5.325670385,2,0.027803016
GL,-0.033274583,11.19259906,2,0.1
GPN,-0.018419754,18.29167167,2,0.1
GWW,0.385933178,59.6705168,4,0.385933178
HAL,0.321366118,5.057407457,1,0.321366118
HBI,0.07210035,3.371365901,2,0.07210035
HIG,0.282090717,12.06721205,1,0.282090717
HAS,-0.077787054,11.78010223,2,0.1
HCA,0.946640015,48.25519147,4,0.946640015
PEAK,-0.087257216,3.999324507,2,0.1
HSIC,0.240878307,7.875376909,2,0.240878307
HSY,0.235499094,15.21562611,1,0.235499094
HES,0.327201979,15.41640216,1,0.327201979
HPE,-0.026746393,2.722392434,2,0.1
HLT,0.462845929,20.60606668,1,0.462845929
HOLX,0.537961438,11.95038331,1,0.537961438
HD,0.588438967,42.88617667,4,0.588438967
HON,0.271666772,32.22225215,0,0.271666772
HRL,0.026914664,2.687852807,2,0.026914664
HST,-0.000893466,2.718268525,2,0.1
HWM,0.088953719,7.529637328,2,0.088953719
HPQ,0.79380827,5.702250813,1,0.79380827
HUM,0.612103685,42.22603475,4,0.612103685
HBAN,0.16015353,2.803382493,2,0.16015353
HII,-0.039914813,33.55464412,0,0.1
IEX,0.402996864,27.50577303,0,0.402996864
INFO,0.774073529,18.212768,3,0.774073529
ITW,0.405451732,25.10636542,0,0.405451732
ILMN,0.320507116,65.74961267,4,0.320507116
INCY,-0.138451656,9.678565037,2,0.1
IR,0.693583421,8.92801305,1,0.693583421
INTC,-0.04566338,5.359166342,2,0.1
ICE,0.430308838,12.20429823,1,0.430308838
IBM,-0.046366879,11.00171376,2,0.1
IP,0.330449824,9.289354309,1,0.330449824
IPG,0.68971131,7.088754323,1,0.68971131
IFF,0.220700075,12.99934879,2,0.220700075
ISRG,0.899288313,54.63906089,4,0.899288313
IVZ,0.46221958,6.564507731,1,0.46221958
IPGP,0.15233635,35.79594884,0,0.15233635
IQV,0.768065142,43.34825293,4,0.768065142
IRM,0.339087187,7.189610098,1,0.339087187
JKHY,0.25122286,11.83383163,1,0.25122286
J,0.485487768,21.05701097,1,0.485487768
JBHT,0.710651263,26.41984658,3,0.710651263
SJM,0.138506913,9.59970722,2,0.138506913
JNJ,0.287058871,12.26549312,1,0.287058871
JCI,0.74586288,14.37812459,1,0.74586288
JPM,0.36607218,25.91780594,0,0.36607218
JNPR,0.137902861,2.43417781,2,0.137902861
KSU,1.083780086,57.33011235,4,1.083780086
K,0.001540727,3.083131318,2,0.001540727
KEY,0.322882224,4.093263799,1,0.322882224
KEYS,0.762930566,27.57757127,3,0.762930566
KMB,-0.042902603,7.135948466,2,0.1
KIM,0.08695653,4.39014482,2,0.08695653
KMI,-0.12940315,2.65250364,2,0.1
KHC,0.280186222,4.811692351,1,0.280186222
KR,0.616726828,4.553495494,1,0.616726828
LHX,0.196888762,20.5318013,0,0.196888762
LH,0.713563927,49.0502476,4,0.713563927
LW,-0.214304276,10.72300567,2,0.1
LVS,-0.376308035,9.043718751,2,0.1
LEG,0.077044735,7.482506938,2,0.077044735
LDOS,0.276650383,7.629040551,1,0.276650383
LEN,0.62013877,19.11670801,1,0.62013877
LLY,1.27633167,41.173328,3,1.27633167
LNC,0.245372641,13.97449004,1,0.245372641
LIN,0.641639454,41.92484858,4,0.641639454
LYV,0.489019912,17.13191047,1,0.489019912
LKQ,0.77854669,9.617339039,1,0.77854669
LMT,0.005683954,24.70355618,0,0.005683954
L,0.13178601,8.709795608,2,0.13178601
LOW,1.090055893,36.58818855,3,1.090055893
LUMN,-0.03171501,1.769610007,2,0.1
LYB,0.107967416,17.90668565,2,0.107967416
MTB,0.015357013,25.12265505,0,0.015357013
MRO,0.39949746,3.578417043,1,0.39949746
MPC,0.02426527,13.12180923,2,0.02426527
MAR,0.241914653,24.98536594,0,0.241914653
MMC,0.719959471,18.33279601,1,0.719959471
MLM,0.484673528,64.02213972,4,0.484673528
MAS,0.39619653,7.377722774,1,0.39619653
MA,0.349079079,37.454373,0,0.349079079
MTCH,1.281072222,34.1810529,3,1.281072222
MKC,0.006375027,7.447116465,2,0.006375027
MCD,0.213498571,21.16484797,0,0.213498571
MCK,0.431181292,23.78524053,0,0.431181292
MDT,0.172001144,12.69308777,2,0.172001144
MRK,0.036641815,4.097828761,2,0.036641815
MET,0.423725176,10.99970419,1,0.423725176
MGM,0.703224656,10.08108034,1,0.703224656
MCHP,0.618987041,13.65945905,1,0.618987041
MU,0.463163549,15.9565149,1,0.463163549
MSFT,1.205945454,46.08566625,4,1.205945454
MAA,0.478113903,26.82705577,0,0.478113903
MHK,0.495766661,44.3506947,4,0.495766661
TAP,-0.25382004,7.414359171,2,0.1
MDLZ,0.141874012,4.176938824,2,0.141874012
MNST,0.496202014,13.25857412,1,0.496202014
MCO,0.790634524,49.42929168,4,0.790634524
MS,1.22945805,21.22419378,3,1.22945805
MOS,1.126003931,8.594032222,3,1.126003931
MSI,0.511056617,31.41160658,0,0.511056617
NDAQ,0.990400062,30.55290337,3,0.990400062
NTAP,0.685662758,16.29270167,1,0.685662758
NWL,0.16426733,4.830463931,2,0.16426733
NEM,0.492583194,9.041496255,1,0.492583194
NWSA,0.754453248,5.815267713,1,0.754453248
NWS,0.718552404,5.250509958,1,0.718552404
NEE,0.421006075,8.688857115,1,0.421006075
NLSN,-0.08423276,4.39282527,2,0.1
NKE,0.796902683,26.1508906,3,0.796902683
NI,-0.115599325,2.029247032,2,0.1
NSC,0.572879172,39.71842207,4,0.572879172
NTRS,0.229496753,15.09985003,1,0.229496753
NOC,0.135524347,28.17615792,0,0.135524347
NLOK,0.160008656,2.972596102,2,0.160008656
NCLH,-0.494506597,13.44199589,2,0.1
NRG,0.018241893,4.403349082,2,0.018241893
NUE,1.060235308,24.94577223,3,1.060235308
NXPI,0.890685385,41.00790337,4,0.890685385
OXY,-0.172381196,10.02412712,2,0.1
OMC,-0.078572293,11.36863071,2,0.1
OKE,-0.07962545,16.43147396,2,0.1
ORCL,0.812937814,13.74631122,1,0.812937814
OGN,0,2.571399535,2,0
OTIS,0,12.6315569,2,0
PCAR,0.15710483,9.216488722,2,0.15710483
PKG,0.249078578,20.36638919,0,0.249078578
PH,0.631736211,58.33227445,4,0.631736211
PAYX,0.45920904,15.15211863,1,0.45920904
PYPL,1.377237512,66.32827363,4,1.377237512
PNR,0.846875112,13.69539157,1,0.846875112
PBCT,0.106186788,2.832221497,2,0.106186788
PEP,0.156719129,8.965284274,2,0.156719129
PKI,1.088980591,31.14219089,3,1.088980591
PFE,0.247334704,3.917859209,2,0.247334704
PM,0.190055297,9.980366518,2,0.190055297
PSX,-0.244327935,17.84079186,2,0.1
PNW,-0.291933911,7.405419245,2,0.1
PXD,0.491451974,31.46366571,0,0.491451974
PNC,0.487843378,34.79862572,0,0.487843378
PPG,0.2960026,25.67831353,0,0.2960026
PPL,-0.123604017,3.130270109,2,0.1
PFG,0.216724643,10.94815389,2,0.216724643
PG,0.127654461,9.7518196,2,0.127654461
PGR,0.385878767,9.67941788,1,0.385878767
PLD,0.569334456,15.81270801,1,0.569334456
PRU,0.251698451,17.95675616,1,0.251698451
PTC,0.855396845,28.4655944,3,0.855396845
PEG,0.010838569,5.179916782,2,0.010838569
PSA,0.357708075,42.28391019,0,0.357708075
PHM,0.211308853,8.705350003,2,0.211308853
PVH,0.2359644,25.2339422,0,0.2359644
QRVO,1.115476612,36.76363581,3,1.115476612
QCOM,0.680972305,27.79960621,3,0.680972305
DGX,0.449147526,15.97556702,1,0.449147526
RL,0.274248288,21.73553974,0,0.274248288
RJF,0.825110202,17.60517319,3,0.825110202
RTX,0.010628004,13.14995995,2,0.010628004
O,-0.088064258,7.803447665,2,0.1
REG,0.01987816,11.20774824,2,0.01987816
RF,0.489184107,4.296744891,1,0.489184107
RSG,0.509955091,13.58209269,1,0.509955091
RMD,1.095122354,40.13274017,3,1.095122354
RHI,0.932851216,19.0772448,3,0.932851216
ROK,0.819558739,43.90818421,4,0.819558739
ROL,0.526075111,5.758625653,1,0.526075111
ROP,0.475641723,48.69580602,4,0.475641723
ROST,0.023904376,14.76203144,2,0.023904376
RCL,-0.22275664,25.26510113,2,0.1
SPGI,0.799355887,57.05798963,4,0.799355887
CRM,0.985687313,39.0041221,3,0.985687313
SBAC,0.418234897,33.11633434,0,0.418234897
SLB,-0.020791784,7.454183897,2,0.1
STX,0.584992829,16.55929542,1,0.584992829
SEE,0.438621967,10.00480137,1,0.438621967
SRE,-0.11920839,11.60325185,2,0.1
SHW,0.614057989,42.31334725,4,0.614057989
SPG,-0.056526778,33.13005674,0,0.1
SWKS,0.845244682,32.11457901,3,0.845244682
SNA,0.273089644,39.66652962,0,0.273089644
SO,0.015496353,4.732827116,2,0.015496353
LUV,-0.157988982,10.14485341,2,0.1
SWK,0.296182562,29.77398904,0,0.296182562
SBUX,0.377735009,16.31519805,1,0.377735009
STT,0.507667594,11.13592842,1,0.507667594
STE,0.716027371,26.01855653,3,0.716027371
SYK,0.296485462,32.32760156,0,0.296485462
SYF,0.39817204,10.48602113,1,0.39817204
SNPS,1.361530701,58.53465539,4,1.361530701
SYY,-0.0079797,12.04498101,2,0.1
TMUS,0.430166838,22.07911961,0,0.430166838
TROW,0.829289889,34.45283692,3,0.829289889
TTWO,0.464532825,26.82944337,0,0.464532825
TPR,0.542784999,11.55484801,1,0.542784999
TGT,1.363083889,51.01513216,4,1.363083889
TEL,0.575042712,25.47772075,0,0.575042712
TDY,0.337430399,50.03813146,4,0.337430399
TFX,0.178007815,31.98220987,0,0.178007815
TER,0.868166699,27.12610461,3,0.868166699
TXN,0.694662504,30.23572671,3,0.694662504
TXT,0.58310165,14.53538362,1,0.58310165
TJX,0.103197402,7.652223016,2,0.103197402
TSCO,1.158673501,38.04771482,3,1.158673501
TT,0.937536535,37.51999718,3,0.937536535
TRV,0.230693213,19.59365275,0,0.230693213
TRMB,1.239902363,19.37529171,3,1.239902363
TFC,0.216776701,9.459061008,2,0.216776701
TWTR,1.008130081,14.9735651,3,1.008130081
TSN,0.074402479,10.25346545,2,0.074402479
UDR,0.106189323,6.887832578,2,0.106189323
ULTA,0.552756085,59.08387196,4,0.552756085
USB,0.109749603,9.887583224,2,0.109749603
UAA,0.01677845,5.203946693,2,0.01677845
UA,-0.042609124,4.32496081,2,0.1
UNP,0.413463215,25.0538262,0,0.413463215
UAL,-0.482351598,18.89206596,2,0.1
UNH,0.833871842,54.56459922,4,0.833871842
UPS,0.78308911,38.62508074,3,0.78308911
UHS,-0.067242543,20.52995062,2,0.1
VLO,-0.148178723,16.15741124,2,0.1
VTR,-0.246860757,10.13463735,2,0.1
VRSN,0.18193081,12.78385121,2,0.18193081
VRSK,0.420601006,19.33929011,1,0.420601006
VZ,-0.129993393,2.334484241,2,0.1
VRTX,-0.047333788,30.82999159,0,0.1
VFC,-0.221096696,11.49404666,2,0.1
VIAC,0.051048972,13.94161712,2,0.051048972
VTRS,-0.243013722,2.21185518,2,0.1
V,0.331073446,21.27662925,0,0.331073446
VNO,-0.307966462,10.46300388,2,0.1
VMC,0.309903815,26.06540011,0,0.309903815
WRB,0.161573261,8.190214167,2,0.161573261
WAB,0.329462414,11.35742909,1,0.329462414
WMT,0.258690223,11.54138772,1,0.258690223
WBA,-0.093039519,6.846211638,2,0.1
DIS,0.320896705,29.36385097,0,0.320896705
WM,0.422550217,17.06507966,1,0.422550217
WEC,-0.036698271,5.039261745,2,0.1
WFC,-0.009510765,10.60259461,2,0.1
WELL,-0.11013868,14.36663455,2,0.1
WDC,-0.044858904,12.38093429,2,0.1
WU,-0.207432361,2.381491282,2,0.1
WRK,0.292819218,9.658943537,1,0.292819218
WY,0.2906658,5.769033662,1,0.2906658
WHR,0.299246214,41.87530895,0,0.299246214
WMB,0.237726125,3.267617244,2,0.237726125
WLTW,0.314668507,21.70038452,0,0.314668507
WYNN,-0.230125496,23.51979453,2,0.1
XEL,0.003718591,3.934536966,2,0.003718591
XLNX,0.88745693,24.48025104,3,0.88745693
XYL,0.578799553,21.18708884,1,0.578799553
YUM,0.153648517,15.08616004,2,0.153648517
ZBH,0.122699262,17.81186209,2,0.122699262
ZION,0.387497379,10.92938803,1,0.387497379
ZTS,0.716917499,26.17303709,3,0.716917499
